stamp,module,elapsed_ms
1657065603.128283,1.2_pointcloud_deskew,0.009
1657065603.128283,1.2_covariance_estimation,0.102
1657065603.128283,1.2_create_factors,0.242
1657065603.128283,1.2_smoother_update,1.097
1657065603.128283,1.3_gnss_injection,0.402
1657065603.128283,1.2_update_frames_calculate_estimate,0.013
1657065603.128283,1.2_update_frames_state_copy,0.006
1657065603.128283,1.2_update_frames_sigma_p,0.047
1657065603.128283,1.2_update_frames_icp_quality,0.211
1657065603.128283,1.2_update_frames,0.402
1657065603.104292,2.1_gnss_araim,0.666
1657065603.128283,2.2_lidar_araim,0.017
1657065603.128283,2.3_dynamic_al,0.000
1657065603.128283,2.3_state_machine,0.017
1657065603.128283,2.3_integrity_total,0.775
1657065603.128283,1.2_odom_insert_frame,4.060
1657065603.228263,1.1_pointcloud_extract,0.005
1657065603.228263,1.1_cloud_preprocess,0.205
1657065603.228263,1.1_ros_callback_total,0.273
1657065603.228263,1.2_imu_integration,0.077
1657065603.228263,1.2_pointcloud_deskew,0.010
1657065603.228263,1.2_covariance_estimation,0.108
1657065603.228263,1.2_create_factors,0.194
1657065603.228263,1.2_smoother_update,5.269
1657065603.228263,1.3_gnss_injection,0.291
1657065603.228263,1.2_update_frames_calculate_estimate,0.013
1657065603.228263,1.2_update_frames_state_copy,0.006
1657065603.228263,1.2_update_frames_sigma_p,0.040
1657065603.228263,1.2_update_frames_icp_quality,0.199
1657065603.228263,1.2_update_frames,0.379
1657065603.204292,2.1_gnss_araim,0.635
1657065603.228263,2.2_lidar_araim,0.017
1657065603.228263,2.3_dynamic_al,0.000
1657065603.228263,2.3_state_machine,0.017
1657065603.228263,2.3_integrity_total,0.737
1657065603.228263,1.2_odom_insert_frame,7.824
1657065603.328254,1.1_pointcloud_extract,0.004
1657065603.328254,1.1_cloud_preprocess,0.222
1657065603.328254,1.1_ros_callback_total,0.296
1657065603.328254,1.2_imu_integration,0.121
1657065603.328254,1.2_pointcloud_deskew,0.010
1657065603.328254,1.2_covariance_estimation,0.092
1657065603.328254,1.2_create_factors,0.194
1657065603.328254,1.2_smoother_update,0.896
1657065603.328254,1.3_gnss_injection,0.289
1657065603.328254,1.2_update_frames_calculate_estimate,0.013
1657065603.328254,1.2_update_frames_state_copy,0.005
1657065603.328254,1.2_update_frames_sigma_p,0.040
1657065603.328254,1.2_update_frames_icp_quality,0.173
