stamp,module,elapsed_ms
1657065604.932218,1.2_update_frames,0.079
1657065604.910227,2.1_gnss_araim,0.652
1657065604.932218,2.3_dynamic_al,0.000
1657065604.932218,2.3_state_machine,0.000
1657065604.932218,2.3_integrity_total,0.718
1657065604.932218,1.2_odom_insert_frame,7.893
1657065605.032244,1.1_pointcloud_extract,0.011
1657065605.032244,1.1_cloud_preprocess,1.365
1657065605.032244,1.1_ros_callback_total,1.469
1657065605.032244,1.2_imu_integration,0.091
1657065605.032244,1.2_pointcloud_deskew,0.039
1657065605.032244,1.2_covariance_estimation,0.707
1657065605.032244,1.2_create_factors,0.016
1657065605.032244,1.2_smoother_update,0.982
1657065605.032244,1.3_gnss_injection,0.318
1657065605.032244,1.2_update_frames_calculate_estimate,0.015
1657065605.032244,1.2_update_frames_state_copy,0.006
1657065605.032244,1.2_update_frames_sigma_p,0.032
1657065605.032244,1.2_update_frames,0.077
1657065605.010220,2.1_gnss_araim,0.648
1657065605.032244,2.3_dynamic_al,0.000
1657065605.032244,2.3_state_machine,0.000
1657065605.032244,2.3_integrity_total,0.711
1657065605.032244,1.2_odom_insert_frame,3.679
1657065605.132296,1.1_pointcloud_extract,0.012
1657065605.132296,1.1_cloud_preprocess,1.362
1657065605.132296,1.1_ros_callback_total,1.467
1657065605.132296,1.2_imu_integration,0.080
1657065605.132296,1.2_pointcloud_deskew,0.052
1657065605.132296,1.2_covariance_estimation,0.674
1657065605.132296,1.2_create_factors,0.013
1657065605.132296,1.2_smoother_update,5.043
1657065605.132296,1.3_gnss_injection,0.282
1657065605.132296,1.2_update_frames_calculate_estimate,0.017
1657065605.132296,1.2_update_frames_state_copy,0.005
1657065605.132296,1.2_update_frames_sigma_p,0.117
1657065605.132296,1.2_update_frames,0.159
1657065605.110275,2.1_gnss_araim,0.767
1657065605.132296,2.3_dynamic_al,0.000
1657065605.132296,2.3_state_machine,0.000
1657065605.132296,2.3_integrity_total,0.830
1657065605.132296,1.2_odom_insert_frame,8.082
1657065605.232276,1.1_pointcloud_extract,0.009
1657065605.232276,1.1_cloud_preprocess,1.334
