stamp,x,y,z
1657065627.628406,-0.0227,-0.0009,-1.7855
1657065627.728375,-0.0223,-0.0009,-1.7840
1657065627.828398,-0.0224,-0.0005,-1.7849
1657065627.928425,-0.0225,-0.0003,-1.7856
1657065628.028422,-0.0226,-0.0009,-1.7874
1657065628.128438,-0.0226,-0.0008,-1.7870
1657065628.228426,-0.0226,-0.0012,-1.7872
1657065628.328401,-0.0227,-0.0013,-1.7853
1657065628.428430,-0.0227,-0.0010,-1.7846
1657065628.528435,-0.0226,-0.0013,-1.7863
1657065628.628595,-0.0226,-0.0014,-1.7849
1657065628.728382,-0.0221,-0.0014,-1.7839
1657065628.828597,-0.0221,-0.0012,-1.7826
1657065628.928422,-0.0222,-0.0014,-1.7841
1657065629.028375,-0.0224,-0.0017,-1.7831
1657065629.128442,-0.0222,-0.0022,-1.7836
1657065629.228429,-0.0226,-0.0015,-1.7860
1657065629.328374,-0.0228,-0.0012,-1.7864
1657065629.428428,-0.0229,-0.0012,-1.7852
1657065629.528420,-0.0229,-0.0007,-1.7833
1657065629.628454,-0.0232,-0.0005,-1.7829
1657065629.728386,-0.0227,-0.0005,-1.7837
1657065629.828453,-0.0225,-0.0006,-1.7836
1657065629.928380,-0.0224,-0.0003,-1.7836
1657065630.028434,-0.0226,-0.0003,-1.7847
1657065630.128423,-0.0220,-0.0004,-1.7844
1657065630.228389,-0.0222,-0.0008,-1.7841
1657065630.328434,-0.0225,-0.0007,-1.7830
1657065630.428431,-0.0227,-0.0002,-1.7850
1657065630.528426,-0.0230,-0.0010,-1.7869
1657065630.628373,-0.0231,-0.0015,-1.7871
1657065630.728393,-0.0229,-0.0020,-1.7899
1657065630.828431,-0.0226,-0.0025,-1.7895
1657065630.928439,-0.0222,-0.0029,-1.7899
1657065631.028370,-0.0220,-0.0034,-1.7894
1657065631.128449,-0.0224,-0.0032,-1.7893
1657065631.228367,-0.0228,-0.0034,-1.7919
1657065631.328459,-0.0227,-0.0031,-1.7903
1657065631.428382,-0.0226,-0.0029,-1.7881
1657065631.528422,-0.0228,-0.0030,-1.7882
1657065631.628448,-0.0228,-0.0027,-1.7875
1657065631.728382,-0.0229,-0.0025,-1.7852
1657065631.828446,-0.0229,-0.0023,-1.7856
1657065631.928449,-0.0229,-0.0015,-1.7829
1657065632.028368,-0.0229,-0.0015,-1.7816
1657065632.128430,-0.0227,-0.0007,-1.7803
1657065632.228441,-0.0225,-0.0006,-1.7796
1657065632.328450,-0.0227,-0.0002,-1.7798
1657065632.428430,-0.0229,-0.0006,-1.7799
1657065632.528436,-0.0228,-0.0006,-1.7780
1657065632.628463,-0.0228,-0.0007,-1.7780
1657065632.728470,-0.0228,-0.0012,-1.7779
1657065632.828526,-0.0230,-0.0015,-1.7793
1657065632.928516,-0.0228,-0.0015,-1.7775
1657065633.028477,-0.0231,-0.0018,-1.7798
1657065633.128460,-0.0230,-0.0019,-1.7821
1657065633.228531,-0.0231,-0.0022,-1.7831
1657065633.328556,-0.0234,-0.0021,-1.7834
1657065633.428519,-0.0234,-0.0020,-1.7834
1657065633.528512,-0.0237,-0.0015,-1.7845
1657065633.628575,-0.0234,-0.0015,-1.7848
1657065633.728534,-0.0233,-0.0016,-1.7859
1657065633.828568,-0.0233,-0.0011,-1.7867
1657065633.928537,-0.0233,-0.0009,-1.7877
1657065634.028512,-0.0231,-0.0007,-1.7884
1657065634.128529,-0.0228,-0.0005,-1.7867
1657065634.228468,-0.0227,0.0000,-1.7864
1657065634.328494,-0.0229,0.0003,-1.7851
1657065634.428532,-0.0229,-0.0001,-1.7849
1657065634.528492,-0.0233,-0.0006,-1.7858
1657065634.628537,-0.0236,-0.0007,-1.7871
1657065634.728527,-0.0237,-0.0011,-1.7873
1657065634.828538,-0.0239,-0.0013,-1.7873
1657065634.928514,-0.0240,-0.0014,-1.7871
1657065635.028534,-0.0245,-0.0011,-1.7879
1657065635.128482,-0.0244,-0.0008,-1.7855
1657065635.228454,-0.0240,-0.0003,-1.7843
1657065635.328542,-0.0236,-0.0009,-1.7839
1657065635.428467,-0.0231,-0.0007,-1.7822
1657065635.528463,-0.0230,-0.0009,-1.7826
1657065635.628463,-0.0229,-0.0010,-1.7820
1657065635.728464,-0.0227,-0.0009,-1.7786
1657065635.828552,-0.0226,-0.0013,-1.7781
1657065635.928524,-0.0224,-0.0017,-1.7777
1657065636.028473,-0.0226,-0.0020,-1.7769
1657065636.128469,-0.0231,-0.0021,-1.7785
1657065636.228529,-0.0233,-0.0014,-1.7780
1657065636.328542,-0.0233,-0.0013,-1.7787
1657065636.428521,-0.0232,-0.0011,-1.7771
1657065636.528685,-0.0232,-0.0010,-1.7780
1657065636.628540,-0.0236,-0.0008,-1.7816
1657065636.728467,-0.0234,-0.0006,-1.7799
1657065636.828652,-0.0232,-0.0011,-1.7799
1657065636.928519,-0.0231,-0.0008,-1.7794
1657065637.028458,-0.0230,-0.0008,-1.7803
1657065637.128519,-0.0229,-0.0014,-1.7813
1657065637.228454,-0.0232,-0.0015,-1.7808
1657065637.328483,-0.0230,-0.0011,-1.7812
1657065637.428512,-0.0231,-0.0011,-1.7788
1657065637.528467,-0.0227,-0.0013,-1.7776
1657065637.628658,-0.0229,-0.0013,-1.7789
1657065637.728516,-0.0229,-0.0016,-1.7800
1657065637.828527,-0.0227,-0.0018,-1.7809
1657065637.928521,-0.0226,-0.0022,-1.7806
1657065638.028557,-0.0225,-0.0023,-1.7798
1657065638.128519,-0.0226,-0.0021,-1.7786
1657065638.228470,-0.0225,-0.0024,-1.7786
1657065638.328535,-0.0226,-0.0024,-1.7810
1657065638.428518,-0.0227,-0.0027,-1.7813
1657065638.528526,-0.0225,-0.0027,-1.7807
1657065638.628469,-0.0226,-0.0026,-1.7812
1657065638.728518,-0.0227,-0.0019,-1.7828
1657065638.828473,-0.0230,-0.0021,-1.7837
1657065638.928523,-0.0230,-0.0018,-1.7831
1657065639.028477,-0.0227,-0.0020,-1.7827
1657065639.128475,-0.0225,-0.0023,-1.7809
1657065639.228522,-0.0224,-0.0020,-1.7814
1657065639.328545,-0.0225,-0.0015,-1.7830
1657065639.428511,-0.0226,-0.0018,-1.7862
1657065639.528470,-0.0228,-0.0018,-1.7884
1657065639.628552,-0.0230,-0.0015,-1.7885
1657065639.728462,-0.0231,-0.0017,-1.7888
1657065639.828517,-0.0231,-0.0015,-1.7893
1657065639.928476,-0.0231,-0.0012,-1.7881
1657065640.028463,-0.0231,-0.0011,-1.7897
1657065640.128519,-0.0233,-0.0007,-1.7891
1657065640.228530,-0.0232,-0.0002,-1.7885
1657065640.328522,-0.0232,-0.0003,-1.7881
1657065640.428515,-0.0229,-0.0007,-1.7854
1657065640.528435,-0.0230,-0.0004,-1.7856
1657065640.587451,-0.0229,-0.0010,-1.7866
1657065640.728526,-0.0228,-0.0005,-1.7859
1657065640.828527,-0.0229,-0.0009,-1.7856
1657065640.928519,-0.0227,-0.0006,-1.7830
1657065641.028502,-0.0227,-0.0007,-1.7849
1657065641.128458,-0.0229,-0.0014,-1.7858
1657065641.228460,-0.0229,-0.0013,-1.7869
1657065641.328538,-0.0228,-0.0018,-1.7860
1657065641.428512,-0.0231,-0.0019,-1.7856
1657065641.528510,-0.0228,-0.0022,-1.7849
1657065641.628465,-0.0227,-0.0023,-1.7870
1657065641.728524,-0.0226,-0.0029,-1.7853
1657065641.828515,-0.0224,-0.0029,-1.7847
1657065641.928466,-0.0222,-0.0026,-1.7841
1657065642.028515,-0.0223,-0.0024,-1.7828
1657065642.128462,-0.0225,-0.0025,-1.7824
1657065642.228512,-0.0221,-0.0024,-1.7791
1657065642.328536,-0.0220,-0.0019,-1.7781
1657065642.428457,-0.0221,-0.0015,-1.7751
1657065642.528471,-0.0221,-0.0014,-1.7724
1657065642.628468,-0.0225,-0.0016,-1.7729
1657065642.728529,-0.0224,-0.0015,-1.7743
1657065642.828488,-0.0222,-0.0021,-1.7745
1657065642.928514,-0.0224,-0.0016,-1.7775
1657065643.028516,-0.0228,-0.0013,-1.7798
