record_type,path,bytes,type,mtime_utc,age_days,age_bucket,item_count
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-bf001d0-c11/runs/pre_primary_2_reference/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_2127290_1786251425162/planner_p0_occupancy_query_evidence.csv,274432696,.csv,2026-08-09T04:57:54Z,7.594585,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-bf001d0-c11/runs/pre_soft_enabled/exports/test_planner_p1_fork_formal_p1_soft_risk_island_v1_2254225_1786252091645/planner_p0_occupancy_query_evidence.csv,2136710114,.csv,2026-08-09T05:09:41Z,7.586402,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-bf001d0-c11/runs/pre_primary_1_reference/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_2090990_1786251238138/planner_p0_occupancy_query_evidence.csv,403493029,.csv,2026-08-09T04:55:04Z,7.596553,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-bf001d0-c11/runs/pre_primary_1_enabled/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_2109022_1786251333838/planner_p0_occupancy_query_evidence.csv,1643967354,.csv,2026-08-09T04:57:04Z,7.595166,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-bf001d0-c11/runs/pre_primary_2_enabled/exports/test_planner_p1_fork_formal_p1_fork_fused_v1_2145816_1786251525877/planner_p0_occupancy_query_evidence.csv,1897831343,.csv,2026-08-09T05:00:15Z,7.592950,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-bf001d0-c11/runs/pre_null_reference/exports/test_planner_p1_fork_formal_p1_fork_symmetric_null_v1_2199766_1786251813605/planner_p0_occupancy_query_evidence.csv,283002866,.csv,2026-08-09T05:04:24Z,7.590066,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-bf001d0-c11/runs/pre_mirror_reference/exports/test_planner_p1_fork_formal_p1_fork_fused_mirror_v1_2163658_1786251617191/planner_p0_occupancy_query_evidence.csv,269738744,.csv,2026-08-09T05:01:07Z,7.592345,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260809-bf001d0-c11/runs/pre_mirror_enabled/exports/test_planner_p1_fork_formal_p1_fork_fused_mirror_v1_2181831_1786251717913/planner_p0_occupancy_query_evidence.csv,1691976425,.csv,2026-08-09T05:03:27Z,7.590727,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-fbe090c-c6/runs/pre_null_enabled/exports/test_planner_p1_fork_formal_p1_fork_symmetric_null_v1_437985_1786209801538/planner_p0_occupancy_query_evidence.csv,1182959794,.csv,2026-08-08T17:24:27Z,8.076148,7-30d,1
candidate_file,/home/dev/ws_iap/src/iap/results/planner_validation/campaigns/p1-2-20260808-fbe090c-c6/runs/pre_soft_reference/exports/test_planner_p1_fork_formal_p1_soft_risk_island_v1_455756_1786209892639/planner_p0_occupancy_query_evidence.csv,388097904,.csv,2026-08-08T17:25:49Z,8.075199,7-30d,1
